ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
84,3443009,Active,323677,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,FT HAMILTON PARKWAY,E,59 STREET,60 STREET,40.6333,-74.0051,982841.66881527,170012.06488144,POINT (-74.0051 40.6333)
7507,2262701,Active,213435,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,BAILEY AVENUE,W,ALBANY CRESCENT,WEST 231 STREET,40.8778,-73.9027,1011153.8772826,259102.64227736,POINT (-73.9027 40.8778)
5213,3223007,Active,311730,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,MANHATTAN AVENUE,W,NORMAN AVENUE,MESEROLE AVENUE,40.7258,-73.952,997544.59774269,203722.56767027,POINT (-73.952 40.7258)
7144,4473107,Active,441388,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,UNION TURNPIKE,N,259 STREET,260 STREET,40.7467,-73.7128,1063819.74176694,211452.27202711,POINT (-73.7128 40.7467)
8187,3103046,Active,314426,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,67 STREET,S,18 AVENUE,19 AVENUE,40.6178,-73.9911,986711.58889695,164345.69071552,POINT (-73.9911 40.6178)
249,1473025,Retired,104513,3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200,,On Street,Manhattan,BROADWAY,E,GREAT JONES STREET,EAST 4 STREET,40.7279,-73.9946,985754.13149427,204476.43328851,POINT (-73.9946 40.7279)
4849,1113011,Active,102965,3HR Com Mon-Fri 0800-1800,,On Street,Manhattan,SOUTH END AVENUE,E,ALBANY STREET,LIBERTY STREET,40.711,-74.0159,979836.45402519,198311.66379394,POINT (-74.0159 40.711)
5752,1433821,Inactive,102641,3HR Com Mon-Sat 1000-1600,,On Street,Manhattan,WEST 57 STREET,N,AVENUE OF THE AMERICAS,7 AVENUE,40.7649,-73.9784,990221.07826902,217967.28918077,POINT (-73.9784 40.7649)
1283,1263100,Inactive,107075,3HR Com Mon-Sat 0700-1900,,On Street,Manhattan,EAST 62 STREET,N,2 AVENUE,ED KOCH QUEENSBORO BRIDGE EXIT,40.7623,-73.9624,994673.16352494,217000.17858219,POINT (-73.9624 40.7623)
9579,1443553,Active,105536,3HR Com Mon-Fri 0800-1900,,On Street,Manhattan,WEST 25 STREET,N,BROADWAY,AVENUE OF THE AMERICAS,40.744,-73.9912,986681.53285469,210324.05249877,POINT (-73.9912 40.744)
4,5043037,Active,514184,4HR Pas Mon-Sat 0900-1800,,On Street,Staten Island,FOREST AVENUE,N,BEMENT AVENUE,NORTH BURGHER AVENUE,40.6294,-74.1129,952917.46488428,168608.97844876,POINT (-74.1129 40.6294)
5035,2162845,Retired,222730,"Rate NOT Available - Please request a NEW PERSO, and Once it is Ready, Please Create a New Report",,On Street,Bronx,BRUCKNER BOULEVARD,S,SWINTON AVENUE,QUINCY AVENUE,40.8313,-73.8307,1031086.72094703,242189.79880652,POINT (-73.8307 40.8313)
1103,3123005,Active,310829,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,5 AVENUE,E,53 STREET,54 STREET,40.6433,-74.0121,980880.91519086,173631.61866593,POINT (-74.0121 40.6433)
12124,4213065,Retired,439947,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,41 AVENUE,S,BELL BOULEVARD,214 PLACE,40.7637,-73.77,1047967.53725094,217599.27744961,POINT (-73.77 40.7637)
10878,3383130,Active,339878,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,LINDEN BOULEVARD,S,VAN SICLEN AVENUE,HENDRIX STREET,40.6607,-73.8852,1016104.11410128,180002.3093366,POINT (-73.8852 40.6607)
1052,1453067,Active,104955,3HR Com Mon-Fri 0800-1900,,On Street,Manhattan,WEST 20 STREET,N,AVENUE OF THE AMERICAS,7 AVENUE,40.7413,-73.9947,985732.9753686,209346.79723543,POINT (-73.9947 40.7413)
12689,3413057,Active,310718,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,MCDONALD AVENUE,E,AVENUE M,24 AVENUE,40.615,-73.9741,991450.07876377,163346.1713891,POINT (-73.9741 40.615)
7028,1443672,Retired,101533,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,BROADWAY,E,WEST 26 STREET,WEST 27 STREET,40.7444,-73.9888,987349.43571836,210475.18802327,POINT (-73.9888 40.7444)
10268,2063041,Retired,221058,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,WESTCHESTER AVENUE,N,GLOVER STREET,PARKER STREET,40.8358,-73.848,1026305.29678285,243825.50025952,POINT (-73.848 40.8358)
15441,3403090,Retired,330972,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,EMPIRE BOULEVARD,N,NOSTRAND AVENUE,CLOVE ROAD,40.664,-73.9505,997978.6441187,181199.60976352,POINT (-73.9505 40.664)
2920,4113141,Active,465170,,,,Queens,,,,,40.6037,-73.7538,1052604.16347636,159318.48882769,POINT (-73.7538 40.6037)
3573,4343127,Active,426802,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,35 AVENUE,S,43 STREET,44 STREET,40.7538,-73.9194,1006569.95108302,213919.64832594,POINT (-73.9194 40.7538)
12513,3249867,Retired,330703,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,VANDERBILT AVENUE,W,PROSPECT PLACE,PARK PLACE,40.677,-73.9692,992786.07445136,185911.39725594,POINT (-73.9692 40.677)
14172,1443001,Active,103055,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,EAST 28 STREET,N,LEXINGTON AVENUE,3 AVENUE,40.7425,-73.9821,989219.82502219,209800.86522494,POINT (-73.9821 40.7425)
2774,3113037,Active,305514,2 HR Pas 0900-1900 Mon-Thur / 4HR Pas 0900-1900 Fri,,On Street,Brooklyn,39 STREET,N,13 AVENUE,14 AVENUE,40.6395,-73.9843,988612.40300868,172258.92160818,POINT (-73.9843 40.6395)
14559,3602979,Active,335129,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,CONEY ISLAND AVENUE,E,AVENUE C,CORTELYOU ROAD,40.6411,-73.9692,992798.28111985,172846.31085335,POINT (-73.9692 40.6411)
2218,1208050,Active,112855,2 HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,3 AVENUE,E,EAST 105 STREET,EAST 106 STREET,40.7912,-73.9448,999527.27159886,227523.01055485,POINT (-73.9448 40.7912)
52,1183058,Active,114774,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,MADISON AVENUE,W,EAST 77 STREET,EAST 78 STREET,40.7753,-73.963,994504.29115927,221743.75275643,POINT (-73.963 40.7753)
13200,4493102,Active,401061,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,AUSTIN STREET,S,63 AVENUE,63 DRIVE,40.7278,-73.8654,1021560.03166711,204464.64525436,POINT (-73.8654 40.7278)
5692,1243104,Active,103918,3HR Com Mon-Sat 0900-1900,,On Street,Manhattan,GRAND STREET,N,BROADWAY,CROSBY STREET,40.7206,-74.0002,984206.38819869,201822.97435661,POINT (-74.0002 40.7206)
13673,4303067,Active,405134,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,COMMONWEALTH BOULEVARD,E,90 AVENUE,JERICHO TURNPIKE,40.7263,-73.7183,1062329.1433702,204008.85909244,POINT (-73.7183 40.7263)
5267,4433009,Active,454206,2 HR Pas Mon-Sat 0930-1900,,On Street,Queens,UNION TURNPIKE,N,187 STREET,188 STREET,40.7291,-73.7819,1044688.68291627,204970.47954452,POINT (-73.7819 40.7291)
4045,4413048,Active,464134,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,JUSTICE AVENUE,W,BROADWAY,52 AVENUE,40.7376,-73.8769,1018368.43765661,208037.13253194,POINT (-73.8769 40.7376)
13281,2023015,Active,201217,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,EAST 149 STREET,N,PARK AVENUE,MORRIS AVENUE,40.8179,-73.9245,1005144.41522019,237282.76465735,POINT (-73.9245 40.8179)
4836,4273032,Active,436882,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,NORTHERN BOULEVARD,N,99 STREET,100 STREET,40.7574,-73.8691,1020508.37366544,215232.27693427,POINT (-73.8691 40.7574)
13018,1023070,Inactive,104293,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,ESSEX STREET,E,RIVINGTON STREET,STANTON STREET,40.7207,-73.987,987857.41829818,201850.34109977,POINT (-73.987 40.7207)
6331,4523015,Active,464037,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,METROPOLITAN AVENUE,N,75 STREET,78 STREET,40.7131,-73.8759,1018660.37079978,199118.13002877,POINT (-73.8759 40.7131)
145,2123007,Active,219338,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,EAST 167 STREET,N,RIVER AVENUE,GERARD AVENUE,40.8356,-73.9208,1006170.78193386,243731.4456576,POINT (-73.9208 40.8356)
15135,3423089,Active,303123,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,3 AVENUE,E,97 STREET,MARINE AVENUE,40.6152,-74.0343,974717.91242503,163420.84578043,POINT (-74.0343 40.6152)
14610,4063009,Active,455107,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,MAIN STREET,Island,NORTHERN BOULEVARD,NORTHERN BOULEVARD,40.763,-73.8321,1030754.89123011,217287.76265268,POINT (-73.8321 40.763)
12460,1113032,Active,106707,2HR Com Mon-Fri 0700-1400 / 2HR Pas Mon-Fri 1400-2200 / 2HR Pas Sat 0700-2200,,On Street,Manhattan,WEST BROADWAY,E,DUANE STREET,THOMAS STREET,40.7168,-74.0081,982007.06582569,200433.03487927,POINT (-74.0081 40.7168)
6285,1443402,Inactive,103748,3HR Com Mon-Fri 0800-1800,,On Street,Manhattan,WEST 30 STREET,S,5 AVENUE,BROADWAY,40.7463,-73.9874,987735.02779494,211173.20401569,POINT (-73.9874 40.7463)
2395,2262725,Active,205579,6HR Pas Mon-Fri 0800-2200,,On Street,Bronx,BROADWAY,E,VAN CORTLANDT PARK SOUTH,WEST 242 STREET,40.8887,-73.8985,1012313.74012035,263054.01265544,POINT (-73.8985 40.8887)
1478,1463009,Active,104663,2HR Pas Mon-Sat 0700-2300,,On Street,Manhattan,HUDSON STREET,W,HORATIO STREET,GANSEVOORT STREET,40.7391,-74.0055,982717.91971894,208558.19809085,POINT (-74.0055 40.7391)
225,3403005,Retired,301989,2 HR Pas Mon-Sat 1000-1900,,On Street,Brooklyn,ATLANTIC AVENUE,N,PERRY PLACE,NOSTRAND AVENUE,40.6787,-73.951,997829.9216471,186536.25591436,POINT (-73.951 40.6787)
10506,3593029,Retired,327744,1HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,UTICA AVENUE,E,AVENUE J,FLATLANDS AVENUE,40.6275,-73.9277,1004326.37223686,167892.84241386,POINT (-73.9277 40.6275)
4075,4443031,Active,406816,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,111 STREET,E,103 AVENUE,LIBERTY AVENUE,40.685,-73.8312,1031077.22884002,188884.20397435,POINT (-73.8312 40.685)
5372,1133091,Active,105791,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,1 AVENUE,E,1 AVENUE LOOP,EAST 14 STREET,40.7324,-73.9817,989329.67650853,206107.4047641,POINT (-73.9817 40.7324)
5006,3193067,Active,327649,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,BROADWAY,W,PUTNAM AVENUE,CORNELIA STREET,40.6874,-73.9185,1006850.0535412,189726.3646916,POINT (-73.9185 40.6874)
2477,5023018,Retired,510603,1HR Pas Mon-Sat 0800-1900,,On Street,Staten Island,HYATT STREET,S,BAY STREET,CENTRAL AVENUE,40.642,-74.0766,962989.7534667,173183.81050643,POINT (-74.0766 40.642)
11776,3593001,Active,326856,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,AVENUE D,N,EAST 52 STREET,EAST 53 STREET,40.6424,-73.9268,1004567.10961628,173312.68492061,POINT (-73.9268 40.6424)
12092,4181457,Retired,426559,1HR Pas Mon-Sat 0900-1900,,On Street,Queens,24 AVENUE,N,28 STREET,29 STREET,40.7734,-73.9169,1007279.81219611,221057.27020551,POINT (-73.9169 40.7734)
3449,1433192,Active,101214,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,EAST 48 STREET,N,PARK AVENUE,LEXINGTON AVENUE,40.7558,-73.9744,991339.53370927,214624.55570877,POINT (-73.9744 40.7558)
4728,2262759,Active,209105,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,WEST 232 STREET,N,BROADWAY,GODWIN TERRACE,40.8803,-73.9042,1010735.12090227,260023.51543561,POINT (-73.9042 40.8803)
7532,3083053,Active,307086,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,BRIGHTON 2 STREET,E,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,40.5771,-73.9651,993934.01834969,149536.81613386,POINT (-73.9651 40.5771)
6169,3283050,Active,312328,2 HR Pas Mon-Fri 1000-1900 /2 HR Pas Sat 0830-1900,,On Street,Brooklyn,BROADWAY,N,HAVEMEYER STREET,MARCY AVENUE,40.7088,-73.9586,995716.11616345,197499.2270986,POINT (-73.9586 40.7088)
10308,5023004,Active,514472,2 HR Pas Mon-Sat 0800-1900,,On Street,Staten Island,BAY STREET,W,ST MARKS PLACE,BAY STREET,40.6372,-74.0767,962964.74433036,171441.45703577,POINT (-74.0767 40.6372)
3083,2353003,Active,222483,6HR Pas Mon-Sat 0900-1900,,On Street,Bronx,GRAND CONCOURSE,E,EAST 144 STREET,EAST 149 STREET,40.8182,-73.9273,1004369.10705952,237390.73130494,POINT (-73.9273 40.8182)
12843,1023072,Retired,103920,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,ESSEX STREET,E,STANTON STREET,EAST HOUSTON STREET,40.7219,-73.9864,988027.76047719,202286.08333851,POINT (-73.9864 40.7219)
5677,1083088,Active,109283,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,WEST 84 STREET,S,BROADWAY,WEST END AVENUE,40.7872,-73.978,990338.28997687,226068.6561801,POINT (-73.978 40.7872)
1164,4213054,Active,453443,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,BELL BOULEVARD,E,43 AVENUE,NORTHERN BOULEVARD,40.7609,-73.7696,1048080.91760162,216564.10793202,POINT (-73.7696 40.7609)
4272,1083080,Active,114237,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,BROADWAY,W,WEST 86 STREET,WEST 87 STREET,40.7888,-73.9763,990815.24013844,226665.43287368,POINT (-73.9763 40.7888)
