the_geom,Carshare_C,Site_Reque,On_Street,From_,To,Address,Site_ID,Community,Side,borough,Lat,Long,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29
POINT (-73.935 40.79892),Zipcar,Renewal,E 120th St,2nd Ave,1st Ave,"352 E 120th St, New York, NY 10035",M-Z 497,111,E,"Manhattan, NY",40.79892,-73.935,,,,,,,,,,,,,,,,,
POINT (-73.941 40.79919),Truqit Inc,New Site,117th St,Lexington Ave,3rd Ave,"156 East 117th St, New York, NY 10035",M-T 4,111,S,"Manhattan, NY",40.79919,-73.941,,,,,,,,,,,,,,,,,
POINT (-73.9407 40.79966),Zipcar,Renewal,Lexington Ave,E 118th St,E 117th St,"1889 Lexington Ave, New York, NY 10035",M-Z 501,111,N,"Manhattan, NY",40.79966,-73.9407,,,,,,,,,,,,,,,,,
POINT (-73.9354 40.80016),Zipcar,Renewal,2nd Ave,3rd Ave,2nd Ave,"2nd Ave & E 121st St, New York, NY 10035",M-Z 496,111,E,"Manhattan, NY",40.80016,-73.9354,,,,,,,,,,,,,,,,,
POINT (-73.9393 40.80265),Zipcar,Renewal,E 122nd St,Lexington Ave,3rd Ave,"151 East 122nd St, New York, NY 10035",M-Z 495,111,W,"Manhattan, NY",40.80265,-73.9393,,,,,,,,,,,,,,,,,
POINT (-73.9403 40.80651),Getaround,New Site,E 126th St,Madison Ave,5th Ave,"1974 Madison Ave, New York, NY 10035",M-G 142,111,N,"Manhattan, NY",40.80651,-73.9403,,,,,,,,,,,,,,,,,
POINT (-73.9414 40.83344),Getaround,New Site,W 158th St,Amsterdam Ave,St Nicholas Ave,"498 W 158th St, New York, NY 10032",M-G 151,112,N,"Manhattan, NY",40.83344,-73.9414,,,,,,,,,,,,,,,,,
POINT (-73.9396 40.85008),Zipcar,New Site,S Pinehurst,W 180th,W 179th,"55 Pinehurst Ave, New York, NY 10033",M-Z 578,112,E,"Manhattan, NY",40.85008,-73.9396,,,,,,,,,,,,,,,,,
POINT (-73.9186 40.873),Zipcar,New Site,Indian,W 218th,W 215th,"33 Indian Rd, New York, NY 10034",M-Z 576,112,W,"Manhattan, NY",40.873,-73.9186,,,,,,,,,,,,,,,,,
POINT (-73.9468 40.8374),Zipcar,New Site,Riverside,W 161st,W 160th,"884 Riverside Dr, New York, NY 10032",M-Z 588,112,E,"Manhattan, NY",40.8374,-73.9468,,,,,,,,,,,,,,,,,
